,id,Price,Prediction,Difference
4941,4941,92.08571,82.53402254891773,9.551687451082273
51775,51775,26.98741,82.31801306693995,-55.33060306693996
115253,115253,100.46784,82.74758654431477,17.720253455685224
299321,299321,16.41393,82.88596830578288,-66.47203830578289
173570,173570,19.55383,80.16653777076606,-60.61270777076605
30862,30862,109.67946,80.22013037282898,29.45932962717103
244471,244471,92.24733,81.15669678275192,11.090633217248083
127794,127794,111.61729,81.70414909219987,29.913140907800127
71558,71558,101.14149,79.94914171711072,21.192348282889284
218011,218011,49.03522,79.53240065854337,-30.497180658543364
148208,148208,72.86241,80.73008190570428,-7.8676719057042845
155735,155735,118.19518,80.39300639639625,37.80217360360375
100698,100698,121.05956,81.85739463528712,39.20216536471288
241403,241403,134.8851,83.4907941251263,51.394305874873695
195272,195272,49.05313,80.39436354470637,-31.341233544706363
238663,238663,42.23371,80.91649772281332,-38.682787722813316
262957,262957,85.59719,80.68808126812331,4.909108731876685
207082,207082,114.12823,81.67161056808555,32.45661943191445
298896,298896,47.05045,83.1958120449695,-36.1453620449695
220946,220946,123.99067,83.55937910059605,40.43129089940395
74581,74581,123.0264,79.71830031750648,43.30809968249352
253578,253578,22.36943,80.89456420932233,-58.525134209322324
47620,47620,71.86449,80.4452268428352,-8.580736842835194
92772,92772,127.02658,79.99537530590725,47.03120469409275
116904,116904,43.46133,82.14183995826303,-38.68050995826304
208352,208352,40.67726,81.55181684240891,-40.874556842408914
76044,76044,76.54866,81.88698381637995,-5.338323816379955
202667,202667,118.23412,82.39892190184969,35.835198098150315
62134,62134,119.55335,82.84629242499565,36.70705757500434
277353,277353,91.09124,81.67071646050879,9.420523539491214
64194,64194,35.73246,82.80163535596549,-47.069175355965484
295822,295822,23.84269,80.47590132890436,-56.63321132890435
27391,27391,39.98671,83.92573677199191,-43.939026771991905
203500,203500,15.41953,78.97878153933115,-63.55925153933115
264505,264505,143.3129,82.06480298698027,61.248097013019745
297455,297455,17.27176,82.44052417792457,-65.16876417792457
137985,137985,106.08547,81.5468610193077,24.538608980692302
47622,47622,110.36532,80.79333667598395,29.571983324016045
21911,21911,38.81235,80.2617550467541,-41.4494050467541
94181,94181,106.58351,80.75941827254613,25.824091727453876
68117,68117,82.65348,80.55482984551028,2.098650154489718
39648,39648,33.77093,81.69339969323129,-47.922469693231285
73722,73722,109.67338,79.73168845559493,29.94169154440506
133456,133456,87.33586,81.39468452719495,5.9411754728050425
30763,30763,56.78029,82.11871092382287,-25.338420923822873
58096,58096,150.0,81.9489178480992,68.0510821519008
126979,126979,26.11709,81.03291825781027,-54.91582825781026
149636,149636,98.7255,83.54690603869386,15.178593961306134
27810,27810,94.84746,80.51498233255079,14.332477667449211
272001,272001,56.62047,81.10992639870328,-24.489456398703283
114617,114617,133.45309,79.87176933313633,53.581320666863675
190693,190693,63.79914,81.3861822041189,-17.587042204118895
219814,219814,103.99386,78.04101954214113,25.95284045785887
67164,67164,113.26574,80.24617338542544,33.01956661457456
83961,83961,79.18577,81.98933033325663,-2.803560333256627
254122,254122,72.78429,82.77691183192589,-9.992621831925888
